i_tpr,i_fpr
0.0,0.0
0.0,0.001
0.0,0.009
0.02,0.009
0.02,0.02
0.03,0.02
0.03,0.024
0.04,0.024
0.04,0.026
0.05,0.026
0.05,0.03
0.06,0.03
0.06,0.035
0.07,0.035
0.07,0.038
0.08,0.038
0.08,0.043
0.1,0.043
0.1,0.053
0.12,0.053
0.12,0.06
0.13,0.06
0.13,0.064
0.14,0.064
0.14,0.068
0.16,0.068
0.16,0.069
0.17,0.069
0.17,0.074
0.18,0.074
0.18,0.077
0.19,0.077
0.19,0.084
0.2,0.084
0.2,0.089
0.21,0.089
0.21,0.093
0.22,0.093
0.22,0.101
0.23,0.101
0.23,0.106
0.24,0.106
0.24,0.107
0.25,0.107
0.25,0.111
0.26,0.111
0.26,0.113
0.27,0.113
0.27,0.12
0.27,0.122
0.27,0.134
0.28,0.134
0.28,0.136
0.28,0.138
0.28,0.143
0.31,0.143
0.31,0.146
0.32,0.146
0.32,0.153
0.33,0.153
0.33,0.155
0.34,0.155
0.34,0.159
0.35,0.159
0.35,0.166
0.36,0.166
0.36,0.171
0.37,0.171
0.37,0.174
0.38,0.174
0.38,0.176
0.39,0.176
0.39,0.179
0.4,0.179
0.4,0.182
0.44,0.182
0.44,0.183
0.45,0.183
0.45,0.19
0.46,0.19
0.46,0.197
0.47,0.197
0.47,0.199
0.48,0.199
0.48,0.201
0.49,0.201
0.49,0.205
0.5,0.205
0.5,0.206
0.51,0.206
0.51,0.209
0.52,0.209
0.52,0.212
0.53,0.212
0.53,0.215
0.54,0.215
0.54,0.22
0.55,0.22
0.55,0.23
0.56,0.23
0.56,0.237
0.57,0.237
0.57,0.244
0.58,0.244
0.58,0.25
0.59,0.25
0.59,0.269
0.6,0.269
0.6,0.271
0.62,0.271
0.62,0.276
0.63,0.276
0.63,0.302
0.64,0.302
0.64,0.304
0.65,0.304
0.65,0.309
0.66,0.309
0.66,0.318
0.67,0.318
0.67,0.321
0.68,0.321
0.68,0.327
0.69,0.327
0.69,0.355
0.71,0.355
0.71,0.363
0.72,0.363
0.72,0.372
0.73,0.372
0.73,0.374
0.74,0.374
0.74,0.377
0.74,0.379
0.74,0.406
0.75,0.406
0.75,0.418
0.76,0.418
0.76,0.423
0.77,0.423
0.77,0.429
0.78,0.429
0.78,0.432
0.79,0.432
0.79,0.449
0.79,0.451
0.79,0.456
0.8,0.456
0.8,0.479
0.8,0.481
0.8,0.489
0.82,0.489
0.82,0.496
0.83,0.496
0.83,0.497
0.84,0.497
0.84,0.51
0.84,0.512
0.84,0.521
0.85,0.521
0.85,0.54
0.85,0.542
0.85,0.545
0.86,0.545
0.86,0.564
0.86,0.566
0.86,0.581
0.86,0.583
0.86,0.622
0.87,0.622
0.87,0.634
0.88,0.634
0.88,0.658
0.89,0.658
0.89,0.662
0.9,0.662
0.9,0.663
0.91,0.663
0.91,0.677
0.92,0.677
0.92,0.692
0.92,0.694
0.92,0.735
0.93,0.735
0.93,0.749
0.94,0.749
0.94,0.769
0.95,0.769
0.95,0.782
0.95,0.784
0.95,0.787
0.96,0.787
0.96,0.805
0.97,0.805
0.97,0.828
0.98,0.828
0.98,0.834
0.99,0.834
0.99,0.845
0.99,0.847
0.99,0.849
1.0,0.849
1.0,0.891
1.0,0.893
1.0,1.0
