i_tpr,i_fpr
0.0,0.0
0.01,0.0
0.23,0.0
0.23,0.002
0.25,0.002
0.25,0.004
0.26,0.004
0.26,0.006
0.27,0.006
0.27,0.008
0.29,0.008
0.29,0.018
0.32,0.018
0.32,0.022
0.33,0.022
0.33,0.03
0.36,0.03
0.36,0.032
0.37,0.032
0.37,0.036
0.38,0.036
0.38,0.046
0.39,0.046
0.39,0.054
0.4,0.054
0.4,0.072
0.41,0.072
0.41,0.078
0.42,0.078
0.42,0.08
0.43,0.08
0.43,0.082
0.45,0.082
0.45,0.084
0.46,0.084
0.46,0.09
0.47,0.09
0.47,0.092
0.48,0.092
0.48,0.094
0.49,0.094
0.49,0.108
0.5,0.11
0.5,0.114
0.51,0.114
0.51,0.122
0.52,0.122
0.52,0.128
0.53,0.128
0.53,0.13
0.54,0.13
0.54,0.134
0.55,0.134
0.55,0.144
0.57,0.144
0.57,0.146
0.58,0.146
0.58,0.152
0.59,0.152
0.59,0.156
0.6,0.156
0.6,0.164
0.61,0.164
0.61,0.166
0.62,0.166
0.62,0.182
0.63,0.182
0.63,0.19
0.66,0.19
0.66,0.204
0.67,0.204
0.67,0.21
0.68,0.21
0.68,0.238
0.7,0.238
0.7,0.27
0.72,0.27
0.72,0.274
0.73,0.274
0.73,0.276
0.74,0.276
0.74,0.29
0.75,0.29
0.75,0.292
0.76,0.292
0.76,0.3
0.77,0.3
0.77,0.312
0.78,0.312
0.78,0.356
0.79,0.356
0.79,0.37
0.8,0.37
0.8,0.372
0.81,0.372
0.81,0.406
0.81,0.41
0.81,0.426
0.82,0.426
0.82,0.43
0.83,0.43
0.83,0.432
0.84,0.432
0.84,0.438
0.85,0.438
0.85,0.47
0.86,0.47
0.86,0.476
0.87,0.476
0.87,0.518
0.88,0.518
0.88,0.528
0.89,0.528
0.89,0.534
0.9,0.534
0.9,0.536
0.91,0.536
0.91,0.546
0.92,0.546
0.92,0.576
0.93,0.576
0.93,0.584
0.94,0.584
0.94,0.598
0.95,0.598
0.95,0.608
0.95,0.612
0.95,0.68
0.96,0.68
0.96,0.698
0.97,0.698
0.97,0.916
0.98,0.916
0.98,0.93
0.99,0.93
0.99,0.952
1.0,0.952
1.0,1.0
