i_tpr,i_fpr
0.0,0.0
0.01,0.0
0.16,0.0
0.16,0.002
0.2,0.002
0.2,0.003
0.21,0.003
0.21,0.004
0.31,0.004
0.31,0.008
0.33,0.008
0.33,0.009
0.34,0.009
0.35,0.01
0.35,0.013
0.36,0.013
0.36,0.014
0.38,0.014
0.38,0.016
0.39,0.016
0.39,0.017
0.4,0.017
0.4,0.018
0.42,0.018
0.42,0.02
0.42,0.022
0.43,0.022
0.43,0.024
0.45,0.024
0.45,0.027
0.46,0.027
0.46,0.031
0.47,0.031
0.47,0.032
0.48,0.032
0.48,0.035
0.49,0.035
0.49,0.036
0.5,0.036
0.5,0.042
0.51,0.042
0.51,0.043
0.52,0.043
0.52,0.048
0.53,0.048
0.53,0.054
0.54,0.054
0.54,0.058
0.55,0.058
0.55,0.06
0.56,0.06
0.56,0.061
0.57,0.061
0.57,0.064
0.59,0.064
0.59,0.074
0.6,0.074
0.6,0.075
0.61,0.075
0.61,0.076
0.62,0.076
0.62,0.078
0.63,0.078
0.63,0.088
0.65,0.088
0.65,0.091
0.66,0.091
0.66,0.1
0.67,0.1
0.67,0.109
0.68,0.109
0.68,0.124
0.69,0.124
0.69,0.138
0.72,0.138
0.72,0.141
0.73,0.141
0.73,0.146
0.74,0.146
0.74,0.158
0.75,0.158
0.75,0.163
0.76,0.163
0.76,0.188
0.77,0.188
0.77,0.2
0.78,0.2
0.78,0.204
0.79,0.204
0.79,0.209
0.8,0.21
0.8,0.223
0.81,0.223
0.81,0.262
0.81,0.264
0.81,0.269
0.82,0.269
0.82,0.271
0.83,0.271
0.83,0.289
0.85,0.289
0.85,0.291
0.86,0.291
0.86,0.294
0.86,0.296
0.86,0.306
0.87,0.306
0.87,0.339
0.88,0.339
0.88,0.352
0.89,0.352
0.89,0.355
0.89,0.357
0.89,0.36
0.89,0.362
0.89,0.365
0.89,0.367
0.89,0.369
0.89,0.371
0.89,0.372
0.89,0.374
0.89,0.377
0.89,0.379
0.89,0.407
0.89,0.409
0.89,0.422
0.89,0.424
0.89,0.428
0.9,0.428
0.9,0.433
0.91,0.433
0.91,0.434
0.92,0.434
0.92,0.44
0.94,0.44
0.94,0.449
0.94,0.451
0.94,0.452
0.95,0.452
0.95,0.459
0.96,0.459
0.96,0.503
0.96,0.505
0.96,0.508
0.96,0.51
0.96,0.512
0.96,0.514
0.96,0.516
0.96,0.518
0.96,0.529
0.96,0.531
0.96,0.542
0.96,0.544
0.96,0.561
0.96,0.563
0.96,0.57
0.97,0.57
0.97,0.576
0.97,0.58
0.97,0.588
0.97,0.59
0.97,0.605
0.97,0.607
0.97,0.629
0.97,0.631
0.97,0.644
0.97,0.646
0.97,0.666
0.97,0.668
0.97,0.701
0.98,0.701
0.98,0.704
1.0,0.704
1.0,0.706
1.0,0.708
1.0,0.726
1.0,0.73
1.0,0.736
1.0,0.738
1.0,0.793
1.0,0.795
1.0,0.806
1.0,0.808
1.0,0.852
1.0,0.854
1.0,0.865
1.0,0.867
1.0,0.892
1.0,0.894
1.0,0.957
1.0,0.959
1.0,1.0
