i_tpr,i_fpr
0.0,0.0
0.0,0.001
0.0,0.007
0.01,0.007
0.01,0.019
0.02,0.019
0.02,0.024
0.03,0.024
0.03,0.032
0.04,0.032
0.04,0.042
0.05,0.042
0.05,0.055
0.06,0.055
0.06,0.058
0.07,0.058
0.07,0.062
0.08,0.062
0.08,0.069
0.09,0.069
0.09,0.086
0.1,0.086
0.1,0.088
0.11,0.088
0.11,0.09
0.13,0.09
0.13,0.093
0.14,0.093
0.14,0.096
0.15,0.096
0.15,0.116
0.17,0.116
0.17,0.119
0.19,0.119
0.19,0.126
0.2,0.126
0.2,0.128
0.22,0.128
0.22,0.133
0.23,0.133
0.23,0.135
0.24,0.135
0.24,0.141
0.25,0.141
0.25,0.146
0.26,0.146
0.26,0.147
0.27,0.147
0.27,0.153
0.28,0.153
0.28,0.166
0.29,0.166
0.29,0.185
0.3,0.185
0.3,0.186
0.31,0.186
0.31,0.197
0.32,0.197
0.32,0.202
0.33,0.202
0.33,0.211
0.34,0.212
0.34,0.213
0.35,0.213
0.35,0.222
0.36,0.222
0.36,0.235
0.37,0.235
0.37,0.248
0.38,0.248
0.38,0.252
0.39,0.252
0.39,0.253
0.41,0.253
0.41,0.256
0.43,0.256
0.43,0.257
0.44,0.257
0.44,0.258
0.45,0.258
0.45,0.27
0.46,0.27
0.46,0.274
0.47,0.274
0.47,0.295
0.49,0.295
0.49,0.298
0.49,0.3
0.49,0.305
0.52,0.305
0.52,0.306
0.53,0.306
0.53,0.312
0.53,0.314
0.53,0.318
0.54,0.318
0.54,0.326
0.56,0.326
0.56,0.334
0.57,0.334
0.57,0.335
0.58,0.335
0.58,0.338
0.59,0.338
0.59,0.349
0.6,0.349
0.6,0.356
0.61,0.356
0.61,0.37
0.62,0.37
0.62,0.374
0.63,0.374
0.63,0.385
0.64,0.385
0.64,0.388
0.65,0.388
0.65,0.389
0.66,0.389
0.66,0.391
0.67,0.391
0.67,0.397
0.68,0.397
0.68,0.406
0.69,0.406
0.69,0.409
0.69,0.411
0.69,0.423
0.7,0.423
0.7,0.455
0.71,0.455
0.71,0.466
0.72,0.466
0.72,0.468
0.73,0.468
0.73,0.469
0.74,0.469
0.74,0.472
0.75,0.472
0.75,0.483
0.76,0.484
0.76,0.496
0.77,0.496
0.77,0.507
0.78,0.507
0.78,0.513
0.79,0.513
0.79,0.537
0.79,0.539
0.79,0.554
0.8,0.554
0.8,0.586
0.81,0.586
0.81,0.598
0.82,0.598
0.82,0.599
0.83,0.599
0.83,0.616
0.84,0.616
0.84,0.617
0.85,0.617
0.85,0.626
0.86,0.626
0.86,0.645
0.88,0.645
0.88,0.656
0.88,0.658
0.88,0.681
0.89,0.681
0.89,0.686
0.9,0.686
0.9,0.704
0.91,0.704
0.91,0.725
0.92,0.725
0.92,0.748
0.92,0.75
0.92,0.76
0.92,0.762
0.92,0.775
0.92,0.777
0.92,0.826
0.93,0.826
0.93,0.86
0.94,0.86
0.94,0.882
0.95,0.882
0.95,0.885
0.96,0.885
0.96,0.89
0.97,0.89
0.97,0.921
0.98,0.921
0.98,0.938
0.99,0.938
0.99,0.939
1.0,0.939
1.0,1.0
