i_tpr,i_fpr
0.0,0.0
0.01,0.0
0.02,0.0
0.02,0.001
0.14,0.001
0.14,0.002
0.19,0.002
0.19,0.003
0.24,0.003
0.24,0.004
0.25,0.004
0.25,0.006
0.26,0.006
0.26,0.007
0.31,0.007
0.31,0.009
0.32,0.009
0.32,0.012
0.35,0.012
0.35,0.013
0.38,0.013
0.38,0.014
0.39,0.014
0.39,0.015
0.41,0.015
0.41,0.019
0.42,0.019
0.42,0.029
0.43,0.029
0.43,0.032
0.44,0.032
0.44,0.039
0.46,0.039
0.46,0.041
0.47,0.041
0.47,0.043
0.48,0.043
0.48,0.048
0.5,0.048
0.5,0.058
0.51,0.058
0.51,0.059
0.52,0.059
0.52,0.062
0.54,0.062
0.54,0.068
0.58,0.068
0.58,0.069
0.59,0.069
0.59,0.078
0.6,0.078
0.6,0.081
0.61,0.081
0.61,0.082
0.61,0.084
0.61,0.09
0.62,0.09
0.62,0.094
0.63,0.094
0.63,0.098
0.65,0.098
0.65,0.102
0.67,0.102
0.67,0.104
0.68,0.104
0.68,0.112
0.69,0.112
0.69,0.14
0.7,0.14
0.7,0.145
0.71,0.145
0.71,0.154
0.72,0.154
0.72,0.155
0.73,0.155
0.73,0.157
0.74,0.157
0.74,0.177
0.75,0.177
0.75,0.178
0.76,0.178
0.76,0.194
0.76,0.196
0.76,0.197
0.77,0.197
0.77,0.202
0.77,0.204
0.77,0.21
0.77,0.212
0.77,0.218
0.77,0.22
0.77,0.224
0.79,0.224
0.79,0.232
0.8,0.232
0.8,0.242
0.81,0.242
0.81,0.247
0.82,0.247
0.82,0.248
0.83,0.248
0.83,0.259
0.86,0.259
0.86,0.277
0.86,0.279
0.86,0.295
0.86,0.298
0.86,0.329
0.86,0.331
0.86,0.357
0.87,0.358
0.87,0.359
0.87,0.361
0.87,0.366
0.87,0.368
0.87,0.393
0.87,0.395
0.87,0.403
0.88,0.403
0.88,0.417
0.89,0.417
0.89,0.419
0.9,0.419
0.9,0.427
0.9,0.429
0.9,0.437
0.9,0.439
0.91,0.439
0.91,0.465
0.92,0.465
0.92,0.466
0.93,0.466
0.93,0.47
0.94,0.47
0.94,0.5
0.95,0.5
0.95,0.511
0.95,0.513
0.95,0.518
0.95,0.52
0.95,0.535
0.95,0.537
0.95,0.547
0.95,0.549
0.95,0.551
0.95,0.553
0.95,0.573
0.96,0.573
0.96,0.592
0.96,0.594
0.96,0.597
0.97,0.597
0.97,0.612
0.97,0.614
0.97,0.621
0.97,0.623
0.97,0.624
0.97,0.626
0.97,0.627
0.98,0.627
0.98,0.638
0.98,0.64
0.98,0.646
0.98,0.649
0.98,0.652
0.98,0.654
0.98,0.685
0.99,0.685
0.99,0.695
0.99,0.697
0.99,0.719
0.99,0.721
0.99,0.723
0.99,0.727
0.99,0.737
0.99,0.74
0.99,0.779
0.99,0.781
0.99,0.803
0.99,0.805
0.99,0.806
0.99,0.808
0.99,0.814
0.99,0.816
0.99,0.847
0.99,0.849
0.99,0.852
1.0,0.852
1.0,0.864
1.0,0.866
1.0,0.867
1.0,0.869
1.0,0.878
1.0,0.88
1.0,0.893
1.0,0.895
1.0,0.898
1.0,0.9
1.0,0.934
1.0,0.936
1.0,1.0
